date,description,category,amount,account
2025-04-05,Taco Truck,Restaurants,-22.59,Checking
2024-10-02,Property Mgmt Co,Rent,-1917.4,Checking
2025-07-02,Trader Joe's,Groceries,-72.25,Checking
2024-09-26,Chevron,Transportation,-67.81,Checking
2025-08-13,Spotify,Entertainment,-10.99,Checking
2025-03-31,Exxon,Transportation,-67.2,Checking
2025-01-23,McDonald's,Restaurants,-22.42,Checking
2025-03-28,Local Deli,Restaurants,-26.52,Checking
2025-02-20,Local Deli,Restaurants,-28.42,Checking
2024-11-27,Lyft,Transportation,-32.51,Checking
2025-05-05,City Gym,Healthcare,-39.99,Checking
2025-05-17,Olive Garden,Restaurants,-13.81,Checking
2025-04-26,Subway,Restaurants,-29.29,Checking
2025-05-07,PG&E,Utilities,-115.01,Checking
2025-06-12,Target,Shopping,-288.99,Checking
2025-05-08,Best Buy,Shopping,-101.67,Checking
2025-07-03,Olive Garden,Restaurants,-10.99,Checking
2025-07-01,Property Mgmt Co,Rent,-1577.94,Checking
2025-06-02,Company Payroll,Salary,2094.78,Checking
2025-08-19,Kaiser,Healthcare,-83.74,Checking
2025-01-01,Olive Garden,Restaurants,-23.5,Checking
2025-08-14,Venmo,Misc,-60.69,Checking
2025-03-27,McDonald's,Restaurants,-25.77,Checking
2024-11-30,Olive Garden,Restaurants,-30.91,Checking
2025-03-11,Uber,Transportation,-13.62,Checking
2024-09-07,Lyft,Transportation,-12.97,Checking
2025-07-02,City Gym,Healthcare,-39.99,Checking
2025-05-21,Costco,Groceries,-89.03,Checking
2025-07-06,Home Depot,Shopping,-64.73,Checking
2024-09-26,Kaiser,Healthcare,-164.15,Checking
2025-01-21,PayPal,Misc,-22.13,Checking
2025-08-12,McDonald's,Restaurants,-22.96,Checking
2025-01-28,Taco Truck,Restaurants,-20.9,Checking
2025-01-05,City Gym,Healthcare,-39.99,Checking
2024-09-22,McDonald's,Restaurants,-23.26,Checking
2024-12-02,Company Payroll,Salary,1908.75,Checking
2024-11-23,Best Buy,Shopping,-55.64,Checking
2025-04-21,Uber,Transportation,-25.64,Checking
2025-07-14,Ikea,Shopping,-91.76,Checking
2025-01-05,Netflix,Entertainment,-15.49,Checking
2025-06-27,AT&T,Utilities,-63.21,Checking
2025-04-22,Amazon,Shopping,-17.38,Checking
2024-11-07,PG&E,Utilities,-173.93,Checking
2025-07-11,Home Depot,Shopping,-66.69,Checking
2025-01-11,Trader Joe's,Groceries,-45.91,Checking
2025-03-03,Company Payroll,Salary,2474.12,Checking
2025-01-27,PayPal,Misc,-70.46,Checking
2025-07-15,Walmart,Groceries,-113.49,Checking
2025-02-10,Comcast,Utilities,-117.23,Checking
2025-03-04,Subway,Restaurants,-14.4,Checking
2024-10-17,Taco Truck,Restaurants,-18.79,Checking
2025-09-03,Landlord LLC,Rent,-1773.52,Checking
2025-08-05,Olive Garden,Restaurants,-22.3,Checking
2024-10-07,Exxon,Transportation,-81.72,Checking
2025-03-09,Local Deli,Restaurants,-26.3,Checking
2024-11-23,Apple Cash,Misc,-7.25,Checking
2025-01-19,Uber,Transportation,-9.72,Checking
2025-07-10,Apple Cash,Misc,-40.25,Checking
2024-11-12,Comcast,Utilities,-72.76,Checking
2024-09-06,Netflix,Entertainment,-15.49,Checking
2024-10-25,Walgreens,Healthcare,-53.75,Checking
2025-06-02,Taco Truck,Restaurants,-20.16,Checking
2025-06-28,Subway,Restaurants,-10.44,Checking
2025-03-31,McDonald's,Restaurants,-19.46,Checking
2024-09-11,Walmart,Groceries,-44.13,Checking
2025-06-07,CVS Pharmacy,Healthcare,-52.38,Checking
2025-03-04,Walgreens,Healthcare,-176.85,Checking
2024-10-22,Etsy,Shopping,-62.05,Checking
2024-12-09,Chipotle,Restaurants,-18.24,Checking
2025-05-05,Landlord LLC,Rent,-1791.56,Checking
2025-06-03,Olive Garden,Restaurants,-16.38,Checking
2025-07-04,Local Deli,Restaurants,-30.66,Checking
2025-02-03,Company Payroll,Salary,2095.91,Checking
2025-05-08,Netflix,Entertainment,-15.49,Checking
2024-12-10,Amazon,Shopping,-76.05,Checking
2025-08-04,Property Mgmt Co,Rent,-1709.45,Checking
2024-11-02,City Gym,Healthcare,-39.99,Checking
2025-03-28,Costco,Groceries,-102.55,Checking
2025-07-13,Comcast,Utilities,-72.85,Checking
2025-05-15,Company Payroll,Salary,2131.17,Checking
2025-06-15,Taco Truck,Restaurants,-28.37,Checking
2024-12-24,AT&T,Utilities,-80.57,Checking
2024-10-23,AT&T,Utilities,-63.74,Checking
2025-07-08,Taco Truck,Restaurants,-19.34,Checking
2025-03-26,Local Deli,Restaurants,-17.51,Checking
2025-03-29,Taco Truck,Restaurants,-15.73,Checking
2025-03-03,Etsy,Shopping,-61.07,Checking
2024-12-19,Starbucks,Restaurants,-23.24,Checking
2025-05-25,Trader Joe's,Groceries,-57.04,Checking
