description,category
PAYMENT VENMO REQUEST /ONLINE,P2P
CARD 3736 LAVAZZA CAFE /ONLINE,Coffee
MOBIL OAKLAND CA,Gas
SONIC DRIVE-IN,Restaurants
PURCHASE CRUNCHYROLL,Entertainment
BIGGBY COFFEE /ONLINE,Coffee
PURCHASE DELTA SHUTTLE,Transport
PAYMENT LYFT XL,Transport
POS 5174 HERTZ,Transport
CARD 6863 WEGMANS - OAKLAND CA,Grocery
PURCHASE WINGSTOP - OAKLAND CA,Restaurants
APPLE STORE,Shopping
TRANSFER FEE #6993,Fees
PURCHASE STUMPTOWN - SAN JOSE CA,Coffee
CARD 1504 JAVAHOUSE /ONLINE,Coffee
WEB 5148 DUTCH BROS #5148,Coffee
CARD 5436 SONIC INTERNET *5436,Utilities
PURCHASE STRIPE PAYOUT *2680,P2P
AUTH 3739 STATEMENT FEE - OAKLAND CA,Fees
PARAMOUNT+ STORE 4839,Entertainment
PURCHASE STOP & SHOP /ONLINE,Grocery
FRONTIER COMMUNICATIONS STORE 6880,Utilities
CARD 2230 IRISH PUB SEATTLE WA,Bars
WEB 9248 AVAIL.CO #9248,Rent
TACO BELL,Restaurants
THE LOCAL PUB STORE 7154,Bars
BART CLIPPER,Transport
GLORIA JEAN'S,Coffee
POS 1864 COX COMMUNICATIONS #1864,Utilities
WEB 9308 CHIME TRANSFER /ONLINE,P2P
WEB 7367 THE ALEHOUSE,Bars
TRADER JOE'S #8535,Grocery
AUTH 4140 BIRD SCOOTERS STORE 4140,Transport
AUTH 5051 RENT PAYMENT PORTAL OAKLAND CA,Rent
DELTA VACATIONS,Travel
WEB 1299 ZILLOW RENT *1299,Rent
NOODLES & CO *8091,Restaurants
THE ALEHOUSE #8932,Bars
TRUE VALUE - AUSTIN TX,Other
REGAL CINEMAS,Entertainment
POS 6576 CVS PHARMACY SEATTLE WA,Health
AUTH 4679 TICKETMASTER /ONLINE,Entertainment
AMERICAN AIRLINES /ONLINE,Travel
ETSY,Shopping
WEB 9124 STATEMENT FEE #9124,Fees
AUTH 5057 SALVATION ARMY - SAN JOSE CA,Other
POS 8025 APPLEBEE'S,Restaurants
AUTH 5979 APPLE CASH,P2P
PAYMENT JERSEY MIKE'S STORE 9950,Restaurants
WEB 1229 ZIPCAR /ONLINE,Transport
EXXON SEATTLE WA,Gas
THE ALEHOUSE #9518,Bars
PAYMENT RALPHS /ONLINE,Grocery
PET STORE /ONLINE,Other
STRIPE PAYOUT STORE 2849,P2P
POS 4353 FOOD LION STORE 4353,Grocery
POS 4505 ZELLE REQUEST STORE 4505,P2P
BOOKING.COM - BERKELEY CA,Travel
SALVATION ARMY,Other
DONATION,Other
LYFT XL *5918,Transport
TACO BELL /ONLINE,Restaurants
OVERDRAFT FEE *2162,Fees
CARD 9146 REMITLY STORE 9146,P2P
FRONTIER COMMUNICATIONS /ONLINE,Utilities
PAYMENT IN-N-OUT STORE 2284,Restaurants
WEB 4099 COX COMMUNICATIONS #4099,Utilities
WEB 7938 BART CLIPPER /ONLINE,Transport
ZILLOW RENT STORE 3124,Rent
POS 2937 MENTAL HEALTH - SAN JOSE CA,Health
CHIME TRANSFER /ONLINE,P2P
WEB 7069 CINCINNATI BELL SAN FRANCISCO CA,Utilities
PRICELINE *1788,Travel
WEB 1444 JETBLUE /ONLINE,Travel
AUTH 9347 VALERO - SEATTLE WA,Gas
AUTH 9851 COX COMMUNICATIONS /ONLINE,Utilities
CARD 8853 MUNI METRO,Transport
PURCHASE PARAMOUNT+ STORE 8539,Entertainment
NOB HILL FOODS STORE 2995,Grocery
CARD 3396 PAVILIONS,Grocery
WEB 9591 PET STORE BERKELEY CA,Other
CARD 4382 SAFEWAY - AUSTIN TX,Grocery
WEB 4016 OFFICE DEPOT /ONLINE,Shopping
WEB 5318 FRED MEYER *5318,Grocery
PAYMENT BART CLIPPER - SAN FRANCISCO CA,Transport
TSA PRECHECK #2028,Travel
PURCHASE KING SOOPERS - NEW YORK NY,Grocery
NORDSTROM,Shopping
PURCHASE VALERO SEATTLE WA,Gas
FOREIGN TRANSACTION FEE,Fees
PURCHASE ZELLE /ONLINE,P2P
PAYMENT TIM HORTONS *5467,Coffee
CHEVRON,Gas
WEB 2915 SPECTRUM *2915,Utilities
PURCHASE ENTERPRISE RENTAL,Transport
PAYPAL TRANSFER,P2P
POS 6351 DUTCH BROS STORE 6351,Coffee
POS 6893 THRIFT STORE *6893,Other
TRADER JOE'S,Grocery
AUTH 7822 UBER TRIP STORE 7822,Transport
URGENT CARE,Health
GIANT EAGLE,Grocery
PAYMENT WINE BAR BERKELEY CA,Bars
AUTH 4349 FARMERS MARKET #4349,Other
AUTH 4003 LABCORP *4003,Health
HARRIS TEETER /ONLINE,Grocery
BP /ONLINE,Gas
AUTH 7122 MONTHLY SERVICE FEE /ONLINE,Fees
CARD 1264 AT&T INTERNET #1264,Utilities
AUTH 6412 BIRD SCOOTERS,Transport
AUTH 8004 MARKET BASKET BERKELEY CA,Grocery
PURCHASE SCOOTER RENTAL - BERKELEY CA,Transport
CARD 1195 EXXONMOBIL,Gas
POS 1131 COSTCO WHOLESALE #1131,Shopping
CARD 5873 DISTILLERY BAR /ONLINE,Bars
AUTH 3207 SALVATION ARMY,Other
PAYMENT GREYHOUND #1284,Transport
PURCHASE CVS PHARMACY,Health
STEAM GAMES /ONLINE,Entertainment
PAYMENT LATE FEE STORE 1032,Fees
CIRCLE K STORE 1342,Gas
BART CLIPPER SEATTLE WA,Transport
PURCHASE BIG LOTS,Other
CARD 9508 MOBIL AUSTIN TX,Gas
AUTH 9184 RENTCAFE #9184,Rent
PURCHASE HARBOR FREIGHT STORE 1507,Other
AUTH 7784 NORDSTROM *7784,Shopping
POS 9060 HOSPITAL BILL STORE 9060,Health
AUTH 7070 SMUD ENERGY /ONLINE,Utilities
CHILI'S BAR,Bars
WEB 4450 SPEAKEASY,Bars
CARD 8123 RENT PAYMENT PORTAL /ONLINE,Rent
PURCHASE APARTMENT RENT #3478,Rent
THE LOCAL PUB #9457,Bars
PAYMENT EMERGENCY ROOM *4300,Health
PURCHASE SCOOTER RENTAL - BERKELEY CA,Transport
WEB 1750 LIME BIKE STORE 1750,Transport
PAYMENT BEER GARDEN,Bars
PAYMENT SAVE MART,Grocery
WINCO *3486,Grocery
STEAM GAMES #8969,Entertainment
WEB 2898 GENERAL MERCHANT,Other
CARD 3077 XBOX LIVE - LOS ANGELES CA,Entertainment
PURCHASE CARD REPLACEMENT FEE,Fees
PAYMENT PARAMOUNT+ /ONLINE,Entertainment
PURCHASE MEIJER,Grocery
PURCHASE GOODWILL,Other
WEB 1715 IN-N-OUT #1715,Restaurants
FOREIGN TRANSACTION FEE #3733,Fees
PURCHASE LIVE NATION *5170,Entertainment
PAYMENT VALERO OAKLAND CA,Gas
CARD 1635 JAVAHOUSE *1635,Coffee
PURCHASE WHATABURGER NEW YORK NY,Restaurants
CARD 2519 STATEMENT FEE,Fees
KROGER *2740,Grocery
PURCHASE RENTCAFE,Rent
WEB 6947 URGENT CARE *6947,Health
WATER BILL,Utilities
CARD 9788 RITE AID,Health
VENMO OAKLAND CA,P2P
PAYMENT PROPERTY MANAGEMENT #4581,Rent
PAYMENT PAYPAL TRANSFER #2847,P2P
