date,description,category,amount,account
2025-08-27,Exxon,Transportation,-135.48,Checking
2025-04-07,Shell Gas,Transportation,-182.38,Checking
2025-06-13,Spotify,Entertainment,-163.0,Checking
2025-07-31,PG&E,Utilities,-152.78,Checking
2025-07-16,Uber,Transportation,-198.43,Checking
2025-08-24,Chipotle,Restaurants,-29.09,Checking
2025-08-19,Company Payroll,Salary,2944.0,Checking
2025-06-29,Safeway,Groceries,-108.31,Checking
2025-06-27,Spotify,Entertainment,-132.94,Checking
2025-06-10,Landlord LLC,Rent,-18.69,Checking
2025-07-06,Venmo,Misc,-133.12,Checking
2025-08-29,Venmo,Misc,-22.88,Checking
2025-08-18,Netflix,Entertainment,-95.22,Checking
2025-06-25,Landlord LLC,Rent,-22.66,Checking
2025-08-12,Chipotle,Restaurants,-192.08,Checking
2025-07-20,Company Payroll,Salary,2373.16,Checking
2025-05-17,CVS Pharmacy,Healthcare,-33.61,Checking
2025-08-09,PayPal,Misc,-164.68,Checking
2025-05-24,PayPal,Misc,-184.91,Checking
2025-06-30,Lyft,Transportation,-33.94,Checking
2025-05-11,Netflix,Entertainment,-148.04,Checking
2025-03-30,Company Payroll,Salary,3253.66,Checking
2025-08-21,PG&E,Utilities,-72.84,Checking
2025-06-04,Comcast,Utilities,-61.05,Checking
2025-04-28,Walgreens,Healthcare,-42.18,Checking
2025-08-01,Best Buy,Shopping,-14.34,Checking
2025-08-19,Company Payroll,Salary,3208.4,Checking
2025-05-23,Netflix,Entertainment,-107.35,Checking
2025-05-03,Target,Shopping,-154.8,Checking
2025-05-25,CVS Pharmacy,Healthcare,-146.7,Checking
2025-06-20,Company Payroll,Salary,2825.29,Checking
2025-08-16,Trader Joe's,Groceries,-128.3,Checking
2025-07-17,Netflix,Entertainment,-165.12,Checking
2025-06-24,Landlord LLC,Rent,-155.92,Checking
2025-03-29,Landlord LLC,Rent,-180.45,Checking
2025-04-03,CVS Pharmacy,Healthcare,-156.96,Checking
2025-06-16,CVS Pharmacy,Healthcare,-186.25,Checking
2025-03-28,Hulu,Entertainment,-69.64,Checking
2025-04-25,Subway,Restaurants,-118.3,Checking
2025-04-19,Walgreens,Healthcare,-126.26,Checking
2025-08-11,PG&E,Utilities,-21.08,Checking
2025-08-13,Amazon,Shopping,-89.28,Checking
2025-06-13,Target,Shopping,-189.0,Checking
2025-07-24,CVS Pharmacy,Healthcare,-97.14,Checking
2025-08-03,Lyft,Transportation,-40.8,Checking
2025-03-20,Target,Shopping,-71.29,Checking
2025-03-09,Shell Gas,Transportation,-148.48,Checking
2025-04-02,Chipotle,Restaurants,-12.86,Checking
2025-05-05,Walgreens,Healthcare,-31.58,Checking
2025-08-26,CVS Pharmacy,Healthcare,-82.53,Checking
2025-04-17,Spotify,Entertainment,-182.48,Checking
2025-04-23,Best Buy,Shopping,-158.78,Checking
2025-08-29,Company Payroll,Salary,2429.54,Checking
2025-03-23,Safeway,Groceries,-10.57,Checking
2025-05-22,Spotify,Entertainment,-177.99,Checking
2025-08-21,Amazon,Shopping,-7.79,Checking
2025-06-23,Trader Joe's,Groceries,-9.77,Checking
2025-07-11,McDonald's,Restaurants,-20.55,Checking
2025-05-11,PG&E,Utilities,-115.38,Checking
2025-08-03,Walgreens,Healthcare,-72.12,Checking
2025-07-20,Amazon,Shopping,-16.18,Checking
2025-07-23,Lyft,Transportation,-180.55,Checking
2025-06-19,Company Payroll,Salary,2022.7,Checking
2025-06-30,Company Payroll,Salary,2160.31,Checking
2025-07-31,Exxon,Transportation,-120.82,Checking
2025-07-30,Landlord LLC,Rent,-9.51,Checking
2025-03-28,CVS Pharmacy,Healthcare,-190.73,Checking
2025-04-29,Olive Garden,Restaurants,-73.88,Checking
2025-09-02,Landlord LLC,Rent,-33.1,Checking
2025-04-03,PG&E,Utilities,-7.06,Checking
2025-03-21,Landlord LLC,Rent,-160.19,Checking
2025-04-28,Netflix,Entertainment,-199.13,Checking
2025-08-29,Best Buy,Shopping,-113.4,Checking
2025-03-28,Comcast,Utilities,-136.79,Checking
2025-07-18,Spotify,Entertainment,-40.62,Checking
2025-08-15,Hulu,Entertainment,-69.18,Checking
2025-08-26,Subway,Restaurants,-131.64,Checking
2025-07-13,Olive Garden,Restaurants,-50.49,Checking
2025-06-16,PayPal,Misc,-22.54,Checking
2025-07-26,Walmart,Groceries,-68.43,Checking
2025-04-24,Trader Joe's,Groceries,-167.81,Checking
2025-08-21,Company Payroll,Salary,3324.15,Checking
2025-03-26,PG&E,Utilities,-7.59,Checking
2025-09-02,Safeway,Groceries,-134.99,Checking
2025-06-05,Chipotle,Restaurants,-100.64,Checking
2025-05-31,Company Payroll,Salary,2961.75,Checking
2025-08-25,Trader Joe's,Groceries,-54.18,Checking
2025-05-15,Company Payroll,Salary,3847.08,Checking
2025-06-27,Target,Shopping,-133.23,Checking
2025-06-12,Chipotle,Restaurants,-109.14,Checking
2025-06-01,Subway,Restaurants,-12.65,Checking
2025-06-22,Company Payroll,Salary,3171.26,Checking
2025-03-09,Shell Gas,Transportation,-119.71,Checking
2025-06-05,Whole Foods,Groceries,-12.36,Checking
2025-05-01,Whole Foods,Groceries,-80.28,Checking
