date,description,category,amount,account
2025-07-27,Lyft,Transportation,-66.91,Checking
2025-06-25,Walmart,Groceries,-8.13,Checking
2025-06-16,Chipotle,Restaurants,-101.18,Checking
2025-08-29,Walgreens,Healthcare,-19.17,Checking
2025-05-08,PayPal,Misc,-184.53,Checking
2025-03-10,CVS Pharmacy,Healthcare,-117.52,Checking
2025-07-16,Landlord LLC,Rent,-67.4,Checking
2025-07-11,Spotify,Entertainment,-139.71,Checking
2025-05-05,Chipotle,Restaurants,-56.58,Checking
2025-08-07,PG&E,Utilities,-130.53,Checking
2025-07-28,Whole Foods,Groceries,-80.15,Checking
2025-08-08,Company Payroll,Salary,3807.21,Checking
2025-06-17,Whole Foods,Groceries,-187.31,Checking
2025-05-25,Company Payroll,Salary,2053.22,Checking
2025-05-06,Company Payroll,Salary,2154.51,Checking
2025-06-10,CVS Pharmacy,Healthcare,-31.95,Checking
2025-06-26,Best Buy,Shopping,-191.93,Checking
2025-08-13,Company Payroll,Salary,3439.08,Checking
2025-05-09,Landlord LLC,Rent,-55.54,Checking
2025-04-17,PG&E,Utilities,-139.45,Checking
2025-07-27,Target,Shopping,-157.47,Checking
2025-08-28,Venmo,Misc,-95.72,Checking
2025-05-09,Safeway,Groceries,-73.2,Checking
2025-08-01,Comcast,Utilities,-16.49,Checking
2025-05-28,AT&T,Utilities,-35.35,Checking
2025-03-15,Landlord LLC,Rent,-24.88,Checking
2025-04-10,PayPal,Misc,-177.63,Checking
2025-06-10,Company Payroll,Salary,2174.54,Checking
2025-07-18,Hulu,Entertainment,-19.79,Checking
2025-08-23,Spotify,Entertainment,-55.57,Checking
2025-03-31,Best Buy,Shopping,-163.56,Checking
2025-08-18,Chipotle,Restaurants,-57.39,Checking
2025-05-16,Company Payroll,Salary,2395.02,Checking
2025-07-22,PG&E,Utilities,-159.07,Checking
2025-04-06,Venmo,Misc,-25.74,Checking
2025-03-17,PayPal,Misc,-23.48,Checking
2025-08-06,Best Buy,Shopping,-122.26,Checking
2025-07-23,Lyft,Transportation,-176.46,Checking
2025-05-05,Best Buy,Shopping,-191.19,Checking
2025-08-08,Spotify,Entertainment,-111.34,Checking
2025-07-07,Venmo,Misc,-36.65,Checking
2025-05-16,Chipotle,Restaurants,-157.82,Checking
2025-05-28,Best Buy,Shopping,-169.08,Checking
2025-05-26,Hulu,Entertainment,-62.7,Checking
2025-05-25,AT&T,Utilities,-155.77,Checking
2025-08-31,Company Payroll,Salary,2876.83,Checking
2025-05-08,Venmo,Misc,-129.39,Checking
2025-08-26,Netflix,Entertainment,-29.98,Checking
2025-08-23,Landlord LLC,Rent,-175.6,Checking
2025-04-25,McDonald's,Restaurants,-31.14,Checking
2025-04-05,Shell Gas,Transportation,-67.87,Checking
2025-03-13,Comcast,Utilities,-168.11,Checking
2025-07-19,Whole Foods,Groceries,-199.62,Checking
2025-04-12,Exxon,Transportation,-6.34,Checking
2025-06-17,Walmart,Groceries,-163.33,Checking
2025-03-10,Target,Shopping,-5.08,Checking
2025-08-09,AT&T,Utilities,-59.31,Checking
2025-07-19,Company Payroll,Salary,3783.42,Checking
2025-04-16,Shell Gas,Transportation,-181.01,Checking
2025-04-16,Exxon,Transportation,-75.79,Checking
2025-08-26,Landlord LLC,Rent,-122.39,Checking
2025-07-09,Best Buy,Shopping,-17.18,Checking
2025-08-28,Safeway,Groceries,-152.83,Checking
2025-06-13,PG&E,Utilities,-64.26,Checking
2025-04-14,Netflix,Entertainment,-14.77,Checking
2025-07-16,Amazon,Shopping,-108.73,Checking
2025-07-21,Landlord LLC,Rent,-176.86,Checking
2025-06-02,Subway,Restaurants,-133.07,Checking
2025-09-02,Landlord LLC,Rent,-165.02,Checking
