date,description,category,amount,account
2025-07-28,Lyft,Transportation,-30.0,Checking
2025-07-05,Netflix,Entertainment,-15.49,Checking
2025-09-10,Comcast,Utilities,-117.23,Checking
2025-07-04,Whole Foods,Groceries,-120.75,Checking
2025-04-12,Comcast,Utilities,-72.57,Checking
2025-07-01,Company Payroll,Salary,2655.2,Checking
2025-06-27,Uber,Transportation,-16.59,Checking
2025-03-21,iCloud,Entertainment,-2.99,Checking
2025-08-04,Whole Foods,Groceries,-123.64,Checking
2025-04-23,Costco,Groceries,-135.09,Checking
2025-05-07,Uber,Transportation,-33.4,Checking
2025-08-27,Local Deli,Restaurants,-34.68,Checking
2025-04-05,Netflix,Entertainment,-15.49,Checking
2025-03-15,Spotify,Entertainment,-10.99,Checking
2025-09-03,Property Mgmt Co,Rent,-1622.71,Checking
2025-05-09,Subway,Restaurants,-17.48,Checking
2025-07-25,PayPal,Misc,-91.97,Checking
2025-06-06,Local Deli,Restaurants,-24.36,Checking
2025-03-25,Safeway,Groceries,-131.08,Checking
2025-07-25,PayPal,Misc,-82.31,Checking
2025-05-29,McDonald's,Restaurants,-23.57,Checking
2025-03-08,Chevron,Transportation,-31.73,Checking
2025-05-26,Walmart,Groceries,-118.24,Checking
2025-08-01,Company Payroll,Salary,1898.21,Checking
2025-07-02,Home Depot,Shopping,-90.8,Checking
2025-06-25,McDonald's,Restaurants,-30.12,Checking
2025-06-12,Starbucks,Restaurants,-14.05,Checking
2025-02-14,Comcast,Utilities,-75.87,Checking
2025-03-15,Etsy,Shopping,-15.96,Checking
2025-07-06,PG&E,Utilities,-176.72,Checking
2025-06-12,Local Deli,Restaurants,-22.38,Checking
2025-04-30,Walmart,Groceries,-115.17,Checking
2025-06-09,Apple Cash,Misc,-31.51,Checking
2025-04-17,CVS Pharmacy,Healthcare,-95.61,Checking
2025-05-26,Amazon,Shopping,-66.98,Checking
2025-09-06,PG&E,Utilities,-80.56,Checking
2025-05-15,Venmo,Misc,-52.81,Checking
2025-06-22,Walmart,Groceries,-28.12,Checking
2025-05-07,Olive Garden,Restaurants,-19.35,Checking
2025-03-03,Company Payroll,Salary,1895.74,Checking
2025-07-20,Local Deli,Restaurants,-9.63,Checking
2025-05-18,McDonald's,Restaurants,-30.51,Checking
2025-07-24,Costco,Groceries,-92.8,Checking
2025-06-19,Local Deli,Restaurants,-26.65,Checking
2025-08-05,City Gym,Healthcare,-39.99,Checking
2025-08-13,Spotify,Entertainment,-10.99,Checking
2025-05-24,Local Deli,Restaurants,-33.39,Checking
2025-06-19,Safeway,Groceries,-68.74,Checking
2025-04-20,Starbucks,Restaurants,-34.96,Checking
2025-06-10,Walmart,Groceries,-111.65,Checking
2025-03-30,Uber,Transportation,-26.44,Checking
2025-03-26,Exxon,Transportation,-35.19,Checking
2025-06-02,McDonald's,Restaurants,-15.02,Checking
2025-07-03,Exxon,Transportation,-73.59,Checking
2025-07-18,Chevron,Transportation,-38.19,Checking
2025-07-13,Comcast,Utilities,-81.72,Checking
2025-06-12,Comcast,Utilities,-72.76,Checking
2025-05-24,Trader Joe's,Groceries,-42.77,Checking
2025-06-22,iCloud,Entertainment,-2.99,Checking
2025-06-11,Chevron,Transportation,-53.1,Checking
2025-06-02,City Gym,Healthcare,-39.99,Checking
2025-07-03,Chipotle,Restaurants,-12.24,Checking
2025-06-07,McDonald's,Restaurants,-20.56,Checking
2025-03-05,Property Mgmt Co,Rent,-2412.35,Checking
2025-04-17,Spotify,Entertainment,-10.99,Checking
2025-08-27,AT&T,Utilities,-101.65,Checking
2025-05-10,Lyft,Transportation,-28.25,Checking
2025-07-02,Costco,Groceries,-137.04,Checking
2025-07-01,Olive Garden,Restaurants,-23.5,Checking
2025-03-07,PG&E,Utilities,-175.11,Checking
2025-07-02,Property Mgmt Co,Rent,-2321.72,Checking
2025-05-05,Netflix,Entertainment,-15.49,Checking
2025-06-12,Uber,Transportation,-34.52,Checking
2025-06-13,Walmart,Groceries,-63.65,Checking
2025-02-23,AT&T,Utilities,-93.78,Checking
2025-08-04,Olive Garden,Restaurants,-34.19,Checking
2025-09-17,Spotify,Entertainment,-10.99,Checking
2025-05-01,Company Payroll,Salary,2519.89,Checking
2025-07-24,AT&T,Utilities,-80.57,Checking
2025-06-01,Subway,Restaurants,-33.08,Checking
