date,description,category,amount,account
2024-12-13,Spotify,Entertainment,-10.99,Checking
2025-07-13,Apple Cash,Misc,-19.83,Checking
2025-04-12,Best Buy,Shopping,-119.2,Checking
2025-07-25,Subway,Restaurants,-23.22,Checking
2025-06-22,Olive Garden,Restaurants,-22.08,Checking
2024-09-03,Company Payroll,Salary,2348.72,Checking
2024-09-04,Property Mgmt Co,Rent,-1678.92,Checking
2025-02-01,Trader Joe's,Groceries,-35.7,Checking
2025-07-28,Olive Garden,Restaurants,-16.45,Checking
2025-02-24,Costco,Groceries,-71.74,Checking
2025-08-04,Property Mgmt Co,Rent,-1709.45,Checking
2024-10-26,Chipotle,Restaurants,-31.53,Checking
2025-04-14,Taco Truck,Restaurants,-23.28,Checking
2025-08-21,McDonald's,Restaurants,-20.98,Checking
2024-09-16,Company Payroll,Salary,2166.9,Checking
2025-08-29,Whole Foods,Groceries,-85.55,Checking
2025-07-22,Trader Joe's,Groceries,-60.47,Checking
2025-03-10,Subway,Restaurants,-30.61,Checking
2025-03-15,Amazon,Shopping,-110.15,Checking
2025-02-03,Company Payroll,Salary,2095.91,Checking
2025-08-31,Taco Truck,Restaurants,-32.58,Checking
2025-05-05,City Gym,Healthcare,-39.99,Checking
2025-07-06,Chevron,Transportation,-68.92,Checking
2025-07-17,Taco Truck,Restaurants,-13.24,Checking
2025-03-22,Uber,Transportation,-28.86,Checking
2025-02-03,Lyft,Transportation,-36.46,Checking
2025-03-22,iCloud,Entertainment,-2.99,Checking
2025-05-15,Exxon,Transportation,-82.22,Checking
2025-09-25,AT&T,Utilities,-77.76,Checking
2025-02-09,Trader Joe's,Groceries,-51.51,Checking
2025-07-22,iCloud,Entertainment,-2.99,Checking
2025-07-24,AT&T,Utilities,-93.4,Checking
2025-06-14,Olive Garden,Restaurants,-17.15,Checking
2025-08-21,Apple Cash,Misc,-25.14,Checking
2024-09-04,Starbucks,Restaurants,-33.94,Checking
2024-09-04,Best Buy,Shopping,-497.0,Checking
2024-09-03,Whole Foods,Groceries,-138.31,Checking
2025-07-15,Olive Garden,Restaurants,-9.84,Checking
2025-06-14,Comcast,Utilities,-93.24,Checking
2025-08-12,McDonald's,Restaurants,-14.06,Checking
2025-06-01,City Gym,Healthcare,-39.99,Checking
2025-07-22,Etsy,Shopping,-96.81,Checking
2025-03-24,Lyft,Transportation,-37.23,Checking
2025-07-19,Starbucks,Restaurants,-18.81,Checking
2024-10-12,Comcast,Utilities,-110.57,Checking
2025-01-02,Property Mgmt Co,Rent,-2156.05,Checking
2025-07-30,Local Deli,Restaurants,-31.82,Checking
2025-01-01,Company Payroll,Salary,2639.62,Checking
2024-11-08,Netflix,Entertainment,-15.49,Checking
2025-01-28,Costco,Groceries,-126.28,Checking
2024-11-14,Spotify,Entertainment,-10.99,Checking
2025-05-26,Whole Foods,Groceries,-51.46,Checking
2024-09-09,Starbucks,Restaurants,-16.01,Checking
2025-04-02,Apple Cash,Misc,-109.72,Checking
2024-09-15,Local Deli,Restaurants,-11.53,Checking
2025-05-15,CVS Pharmacy,Healthcare,-88.37,Checking
2025-01-13,Comcast,Utilities,-91.75,Checking
2025-06-09,Best Buy,Shopping,-43.99,Checking
2025-03-11,PayPal,Misc,-77.08,Checking
2025-02-22,Apple Cash,Misc,-113.7,Checking
2025-01-15,Company Payroll,Salary,2197.32,Checking
2024-09-05,PG&E,Utilities,-87.24,Checking
2025-07-01,Property Mgmt Co,Rent,-1577.94,Checking
2024-12-02,City Gym,Healthcare,-39.99,Checking
2025-01-03,Lyft,Transportation,-18.92,Checking
2025-07-20,Trader Joe's,Groceries,-31.3,Checking
2025-01-01,Chipotle,Restaurants,-33.64,Checking
2025-06-24,Olive Garden,Restaurants,-10.57,Checking
2025-07-27,Apple Cash,Misc,-19.7,Checking
2025-02-19,Lyft,Transportation,-22.05,Checking
2025-08-12,Olive Garden,Restaurants,-33.12,Checking
